jPSXdec: PSX media decoder (non-commercial) v2.0
Windows 11 10.0
Java 1.8.0_471
2026-01-17 02:51:30
02:51 jpsxdec.cdreaders.CdOpener INFO: C:\Users\JO\Desktop\XENO_ARC\Xenogears\XenogearsUSACD2.bin
02:51 jpsxdec.indexing.DiscIndex INFO: #:113|ID:?[99]|Sectors:184879-184881|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:114|ID:?[100]|Sectors:184882-184884|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:115|ID:?[101]|Sectors:184885-184887|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:116|ID:?[102]|Sectors:184888-184890|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:117|ID:?[103]|Sectors:184891-184893|Type:Tim|Start Offset:40|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:118|ID:?[104]|Sectors:184893-184893|Type:Tim|Start Offset:584|Dimensions:128x16|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:119|ID:?[105]|Sectors:184893-184894|Type:Tim|Start Offset:1672|Dimensions:16x64|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:120|ID:?[106]|Sectors:184894-184894|Type:Tim|Start Offset:200|Dimensions:32x32|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:121|ID:?[107]|Sectors:184894-184895|Type:Tim|Start Offset:776|Dimensions:96x16|Palettes:16|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:122|ID:?[108]|Sectors:184895-184907|Type:Tim|Start Offset:40|Dimensions:256x192|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:123|ID:?[109]|Sectors:184907-184907|Type:Tim|Start Offset:104|Dimensions:12x40|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:124|ID:?[110]|Sectors:184907-184907|Type:Tim|Start Offset:408|Dimensions:40x12|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:125|ID:?[111]|Sectors:184966-184974|Type:Tim|Start Offset:0|Dimensions:256x128|Palettes:1|Bpp:4
02:51 jpsxdec.indexing.DiscIndex INFO: #:126|ID:?[112]|Sectors:184980-184996|Type:Tim|Start Offset:0|Dimensions:128x256|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:127|ID:?[113]|Sectors:221427-221497|Type:Tim|Start Offset:0|Dimensions:320x224|Palettes:1|Bpp:16
02:51 jpsxdec.indexing.DiscIndex INFO: #:128|ID:?[114]|Sectors:221498-221568|Type:Tim|Start Offset:0|Dimensions:320x224|Palettes:1|Bpp:16
02:51 jpsxdec.indexing.DiscIndex INFO: #:129|ID:?[115]|Sectors:221569-221639|Type:Tim|Start Offset:0|Dimensions:320x224|Palettes:1|Bpp:16
02:51 jpsxdec.indexing.DiscIndex INFO: #:130|ID:?[116]|Sectors:221640-221677|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:131|ID:?[117]|Sectors:221678-221715|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:132|ID:?[118]|Sectors:221716-221753|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:133|ID:?[119]|Sectors:221754-221791|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:134|ID:?[120]|Sectors:221792-221829|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:135|ID:?[121]|Sectors:221830-221867|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:136|ID:?[122]|Sectors:221868-221905|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:137|ID:?[123]|Sectors:221906-221943|Type:Tim|Start Offset:0|Dimensions:320x240|Palettes:1|Bpp:8
